"Ustar (m/s)","Wall Y+","Wall Shear Stress: Magnitude (Pa)","X (m)","Y (m)","Z (m)"
0.0100084658022449,0.0472515351189584,0.100065361888418,0.369951586143227,0.00309934337719086,0
0.00950590921430491,0.0454941565294129,0.0902692006609911,0.367684002491002,0.0023084532283151,0
0.00907364492170091,0.0439508132165253,0.082246853147263,0.365381738845406,0.00162529781452855,0
0.00873144177944318,0.0427202529803721,0.0761606864522821,0.363048896519019,0.00105538489128811,0
0.00841946447653764,0.0415167018849754,0.0708159110084352,0.360690467503914,0.000603116137946522,0
0.00818241946202752,0.0405729257191891,0.066884839364215,0.358311358989056,0.000277998025718173,0
0.00823028060728774,0.040929364075571,0.0676699029811648,0.355917770595523,8.62674543035075e-05,0
0.00852481433460509,0.0424049786954512,0.0726001758973355,0.353517324679444,8.83381242646695e-06,0
0.00888668618221586,0.0441724337523503,0.078895131446423,0.351115234640752,-2.21613149522497e-06,0
0.00905033045114953,0.0449768600825945,0.0818283146718554,0.348713050141613,7.57772140048352e-07,0
0.0090369267606656,0.0449157633925223,0.0815866707638375,0.346310859449085,-1.12115379049954e-07,0
0.00898066264815917,0.0446375820394877,0.080574555043049,0.343908668558695,-8.91364531559258e-08,0
0.00889930537090517,0.0442352939245568,0.0791219540430609,0.34150647765181,6.73762101683551e-08,0
0.00877411563381451,0.0436152932824678,0.0769122199585612,0.339104286721397,-1.9151016763323e-08,0
0.00863172812819836,0.0429094419365887,0.0744368764544214,0.336702095788317,-7.17232580889839e-09,0
0.00845268575563691,0.0420213344018501,0.0713816232376127,0.334299904855218,6.73959931539533e-09,0
0.00825483878582724,0.0410396283889435,0.0680798619215008,0.331897713921966,-9.01891223891313e-10,0
0.0080195059797122,0.0398714023940766,0.0642542174051717,0.329495522988703,-1.37298757340909e-09,0
0.00776409483661908,0.0386032088068363,0.0602272835239775,0.327093332055437,5.99590430057188e-10,0
0.00746624500967448,0.0371238567054807,0.0556957385598715,0.32469114112217,2.35398672923267e-10,0
0.00714449301593963,0.0355254912992281,0.0509996034246054,0.322288950188903,-1.94955374257078e-10,0
0.00677001479989625,0.0336647725370691,0.0457942343282974,0.319886759255636,-3.86118157851381e-11,0
0.00636309644063857,0.0316425541749941,0.0404554784891571,0.317484568322368,5.71401431230909e-11,0
0.00588438301117973,0.0292631104822506,0.0345981912172644,0.315082377389101,7.93442889990963e-12,0
0.00535395721767024,0.026626282967722,0.0286428238785343,0.312680186455834,-1.66566672599773e-11,0
0.00470871465766557,0.0234182090712759,0.022156091307228,0.310277995522567,-2.62271052869849e-12,0
0.00395217892622214,0.0196563614146392,0.0156098866436705,0.3078758045893,4.89313601635448e-12,0
0.00291889172688765,0.0145177498059052,0.00851656417273337,0.305473613656033,1.17475158198476e-12,0
0.00118477029869151,0.00589291039617769,0.00140666942429296,0.303071422722766,-1.40181802953026e-12,0
0.00250527115531446,0.012461328380046,0.006264961844929,0.300669231789498,-5.45260772510342e-13,0
0.00373205810575136,0.0185639969496212,0.013910095762512,0.298267040856231,3.6500606457188e-13,0
0.00470670076867356,0.0234127665633233,0.0221276361840233,0.295864849922964,2.40947112805546e-13,0
0.00550517448226849,0.0273854483163869,0.0302744064468913,0.293462658989697,-6.81280675244717e-14,0
0.00624813685683112,0.0310821810968752,0.0389990241536441,0.29106046805643,-9.58060383220521e-14,0
0.00690336382242401,0.0343426233445789,0.0476087080955328,0.288658277123163,-2.32299903568368e-15,0
0.0075402724167624,0.0375120724002661,0.0567999280536567,0.286256086189896,3.22367234415654e-14,0
0.00811726815830726,0.0403835782136098,0.0658263519036888,0.283853895256628,9.89812518558182e-15,0
0.00868953710999767,0.0432316681740925,0.0754359150699901,0.281451704323361,-8.27536890826822e-15,0
0.00921449745031184,0.0458444766008923,0.0848265548792616,0.279049513390094,-5.98721829941555e-15,0
0.00974115097937586,0.0484657812041985,0.0948007870866389,0.276647322456827,8.45568866566489e-16,0
0.0102272192930001,0.0508852197460963,0.10449817117774,0.27424513152356,2.42363141262425e-15,0
0.0107183409818491,0.053329850179857,0.114775804711179,0.271842940590293,5.83779912431982e-16,0
0.0111728857965424,0.0555925285259476,0.124717421094228,0.269440749657025,-6.62922803824705e-16,0
