"Ustar (m/s)","Wall Y+","Wall Shear Stress: Magnitude (Pa)","X (m)","Y (m)","Z (m)"
0.0200693008942987,0.0998427217381054,0.402150310432437,0.282375,0.15175,0
0.0200413903449418,0.0997063674441598,0.401032962216616,0.280125,0.15175,0
0.0200167352636277,0.099586103035376,0.400047248959193,0.277875,0.15175,0
0.0199933724704212,0.0994721627020772,0.399114340150983,0.275625,0.15175,0
0.0199727975258529,0.0993719881791849,0.39829367572565,0.273375,0.15175,0
0.0199537674485769,0.0992793962539302,0.397535404254217,0.271125,0.15175,0
0.0199371980584608,0.099198944403667,0.39687579395591,0.268875,0.15175,0
0.019922301979872,0.0991267158762524,0.3962832893299,0.266625,0.15175,0
0.0199096377722991,0.0990654906085222,0.395779938033606,0.264375,0.15175,0
0.0198987018246071,0.0990127634862153,0.395345567526416,0.262125,0.15175,0
